symbol,tradeDate,exchange,quantity,price,executionTime,strikePrice,expiryDate,optionsType,tradeType,assetType,id,tradeId
PIDILITIND,2022-08-05,NSE,115,2627.2,09:31:30,,,,sell,cash,fc015e57039a8f025ff39a7ee71f1323,5c8798b1a7deedbe7f949e7e6b945209
ASTRAL,2022-08-05,NSE,20,1961.9,10:07:16,,,,buy,cash,2d427d15dc730562dab42e668a1449db,b22517c346994752d17a9afc495e3e02
ASTRAL,2022-08-05,NSE,100,1963.8425,10:30:31,,,,buy,cash,004c4eafbb063981f0a06f9d4d7e906a,b22517c346994752d17a9afc495e3e02
PIDILITIND,2022-08-05,NSE,115,2602.55,10:33:41,,,,buy,cash,e4bb4fdf9377d79f15bcf8c34e5eec8a,5c8798b1a7deedbe7f949e7e6b945209
NAVINFLUOR,2022-08-08,NSE,55,4497.0,09:07:18,,,,sell,cash,f0fe269cd0b30d95fb5964a8b2c582d0,c80ec839ca0abb4fd4af256a8b58c973
TATAMTRDVR,2022-08-08,NSE,85,226.7,09:24:31,,,,sell,cash,28badab97fcbd8bcac8ea51926df6591,19bdf0c3839b678f7db5102b2a900b85
MGL,2022-08-08,NSE,303,817.0,09:27:44,,,,sell,cash,415069ffd06eaf8b2191cdda099672ce,d4c53eaaf7c46210f4bab0af3f50606b
MGL,2022-08-08,NSE,303,822.0,09:29:12,,,,buy,cash,2acbfda533d527e12e8150bac294e1ba,d4c53eaaf7c46210f4bab0af3f50606b
HINDPETRO,2022-08-08,NSE,1000,236.65,09:31:43,,,,sell,cash,8d61425b362ed3bade2bcd624b2134ba,dc5ce95ad717e5abf77dd3227bf9eb1f
HINDPETRO,2022-08-08,NSE,1000,238.25,09:41:53,,,,buy,cash,702e27cc872fb606bcafda2026d017a5,dc5ce95ad717e5abf77dd3227bf9eb1f
NAVINFLUOR,2022-08-08,NSE,25,4453.0,10:01:19,,,,buy,cash,c990e1595ddaadf4bcf9cdbd1ba4a23f,c80ec839ca0abb4fd4af256a8b58c973
NAVINFLUOR,2022-08-08,NSE,30,4453.0,10:01:37,,,,buy,cash,70fd62d949b12642d360be36bbae227c,c80ec839ca0abb4fd4af256a8b58c973
NAVINFLUOR,2022-08-08,NSE,55,4503.5,10:29:34,,,,buy,cash,fa21e4aa45a582115a61de478249b128,de8f1037a9f4c1ab59036d245081b3b5
NAVINFLUOR,2022-08-08,NSE,55,4455.5254545454545,15:20:57,,,,sell,cash,9d707fb52e93d6997c840e9a4ac585ab,de8f1037a9f4c1ab59036d245081b3b5
MGL,2022-08-10,NSE,306,822.0,09:07:49,,,,sell,cash,c6597bf1a2407816469b3db0a0c767e3,c63033ef5e824bd6a86e9c709e74f49a
MGL,2022-08-10,NSE,306,822.0,09:07:49,,,,sell,cash,64329e061b35bf6190511d72646d01ba,c63033ef5e824bd6a86e9c709e74f49a
MGL,2022-08-10,NSE,612,814.3,09:16:29,,,,buy,cash,f2edb1cb87b09cece619a765df5337f2,c63033ef5e824bd6a86e9c709e74f49a
TATACHEM,2022-08-10,NSE,220,1027.6295454545455,09:28:26,,,,buy,cash,41caa302e4de443d1aca005786445fa3,53305a499cf95ee4205565c3703fa5bc
TATACHEM,2022-08-10,NSE,220,1021.5,09:32:00,,,,sell,cash,903a09dd919bb850165d62abee18a51e,53305a499cf95ee4205565c3703fa5bc
AARTIIND,2022-08-10,NSE,340,819.8,09:34:41,,,,buy,cash,819b24bf72b7ff62a64d8efaaaafda25,d365ccdc3abfbb28157657332d5b630d
AARTIIND,2022-08-10,NSE,340,815.0,09:49:09,,,,sell,cash,eecd16f1abc31692c51c2934992f9e5d,d365ccdc3abfbb28157657332d5b630d
TATACHEM,2022-08-10,NSE,200,1037.3,10:58:43,,,,buy,cash,93dbe39f020bd4085c8220f91c362109,6a125a7e3cd278424b565a45ad18343f
TATACHEM,2022-08-10,NSE,100,1042.85,11:15:54,,,,sell,cash,3e34a74f4ab09a2e9460036a8359e89d,6a125a7e3cd278424b565a45ad18343f
